w	A	lgA	phi
0.1	10.05	20.043	-91.93
0.10855	9.2665	19.338	-92.1
0.13428	7.5146	17.518	-92.615
0.1661	6.1039	15.712	-93.267
0.20547	4.9706	13.928	-94.105
0.25416	4.0631	12.177	-95.198
0.31439	3.3407	10.477	-96.664
0.3889	2.7707	8.8519	-98.698
0.48106	2.3276	7.3382	-101.66
0.52062	2.191	6.8127	-103.11
0.61932	1.9371	5.7429	-107.35
0.71866	1.762	4.9199	-112.68
0.81638	1.6321	4.2549	-119.18
0.91063	1.522	3.6486	-126.74
1	1.4142	3.0103	-135
1	1.4142	3.0103	-135
1.0981	1.2795	2.1407	-144.9
1.2249	1.0798	0.66718	-157.81
1.3915	0.81489	-1.778	-172.52
1.6147	0.53887	-5.3704	-186.15
1.9208	0.31838	-9.9412	-196.11
2.1319	0.23221	-12.682	-199.6
2.6371	0.125	-18.062	-202.88
2.9395	0.092518	-20.675	-203.21
3.2621	0.069987	-23.1	-202.96
4.0352	0.040659	-27.817	-201.36
4.9915	0.024366	-32.264	-198.97
6.1744	0.014967	-36.497	-196.34
7.6377	0.0093675	-40.568	-193.79
9.4478	0.0059433	-44.519	-191.47
10	0.0052725	-45.56	-190.9
11.687	0.0038072	-48.388	-189.45
14.456	0.0024551	-52.198	-187.74
17.883	0.0015904	-55.97	-186.31
22.121	0.0010333	-59.716	-185.13
27.363	0.0006727	-63.444	-184.16
33.848	0.00043852	-67.16	-183.37
41.869	0.00028612	-70.869	-182.73
51.792	0.00018678	-74.573	-182.21
64.066	0.00012198	-78.274	-181.79
79.249	7.97E-05	-81.973	-181.44
98.03	5.21E-05	-85.67	-181.17
100	5.00E-05	-86.016	-181.15
