t	delta
0	0
0.17043	0.098176
0.34087	0.21601
0.5113	0.34426
0.68174	0.47419
0.85217	0.59786
1.0226	0.70842
1.193	0.80024
1.3635	0.8691
1.5339	0.91223
1.7043	0.92829
1.8748	0.91732
2.0452	0.88062
2.2156	0.82061
2.3861	0.74058
2.5565	0.64454
2.7269	0.53695
2.8974	0.42248
3.0678	0.30584
3.2382	0.19152
3.4087	0.083618
3.5791	-0.014281
3.7495	-0.099249
3.92	-0.16908
4.0904	-0.22236
4.2609	-0.25841
4.4313	-0.27735
4.6017	-0.27994
4.7722	-0.2676
4.9426	-0.24222
5.113	-0.20609
5.2835	-0.16177
5.4539	-0.11194
5.6243	-0.059307
5.7948	-0.0064828
5.9652	0.044131
6.1356	0.09042
6.3061	0.13062
6.4765	0.16338
6.6469	0.18776
6.8174	0.20326
6.9878	0.20982
7.1582	0.20776
7.3287	0.19773
7.4991	0.18071
7.6695	0.15789
7.84	0.13062
8.0104	0.10035
8.1808	0.068549
8.3513	0.03664
8.5217	0.0059543
8.6921	-0.02233
8.8626	-0.047223
9.033	-0.067949
9.2034	-0.083966
9.3739	-0.094971
9.5443	-0.10089
9.7147	-0.10189
9.8852	-0.098297
10.056	-0.090636
10.226	-0.07955
10.396	-0.065783
10.567	-0.050133
10.737	-0.033419
10.908	-0.016441
11.078	5.19E-05
11.249	0.015385
11.419	0.028988
11.59	0.040406
11.76	0.049312
11.93	0.055511
12.101	0.058938
12.271	0.059651
12.442	0.057821
12.612	0.053713
12.783	0.04767
12.953	0.04009
13.123	0.031409
13.294	0.022076
13.464	0.012533
13.635	0.0032012
13.805	-0.0055424
13.976	-0.013372
14.146	-0.020026
14.316	-0.02531
14.487	-0.029107
14.657	-0.031366
14.828	-0.03211
14.998	-0.031422
15.169	-0.029441
15.339	-0.026348
15.509	-0.022359
15.68	-0.017714
15.85	-0.012658
16.021	-0.0074389
16.191	-0.0022909
16.362	0.002572
16.532	0.0069642
16.703	0.010734
16.873	0.013768
17.043	0.015992
17.214	0.017372
17.384	0.017913
17.555	0.017655
17.725	0.016669
17.896	0.015051
18.066	0.012917
18.236	0.010398
18.407	0.0076277
18.577	0.004744
18.748	0.0018774
18.918	-0.00085157
19.089	-0.0033376
19.259	-0.0054933
19.429	-0.0072521
19.6	-0.0085693
19.77	-0.0094222
19.941	-0.0098097
20.111	-0.0097504
20.282	-0.0092806
20.452	-0.0084512
20.623	-0.0073246
20.793	-0.0059711
20.963	-0.0044654
21.134	-0.002883
21.304	-0.0012969
21.475	0.00022517
21.645	0.0016233
21.816	0.0028474
21.986	0.0038585
22.156	0.0046297
22.327	0.0051463
22.497	0.0054055
22.668	0.0054156
22.838	0.0051949
23.009	0.0047703
23.179	0.0041751
23.349	0.0034475
23.52	0.0026282
23.69	0.0017591
23.861	0.00088086
24.031	3.14E-05
24.202	-0.00075529
24.372	-0.0014506
24.542	-0.0020317
24.713	-0.0024827
24.883	-0.0027942
25.054	-0.0029634
25.224	-0.0029939
25.395	-0.0028948
