Re1	Im1	Re2	Im2	Re3	Im3
0	0	-0.5	1.118	-0.5	-1.118
-0.10698	0	-0.44651	1.1212	-0.44651	-1.1212
-0.24629	0	-0.37686	1.1357	-0.37686	-1.1357
-0.32318	0	-0.33841	1.1495	-0.33841	-1.1495
-0.39616	0	-0.30192	1.1668	-0.30192	-1.1668
-0.52629	0	-0.23686	1.2086	-0.23686	-1.2086
-0.64763	0	-0.17618	1.2613	-0.17618	-1.2613
-0.74648	0	-0.12676	1.3149	-0.12676	-1.3149
-0.89846	0	-0.050768	1.4172	-0.050768	-1.4172
-1.2735	0	0.13674	1.7869	0.13674	-1.7869
-1.6416	0	0.32082	2.3529	0.32082	-2.3529
-1.9991	0	0.49953	3.1988	0.49953	-3.1988
-2.3257	0	0.66287	4.467	0.66287	-4.467
-2.5923	0	0.79616	6.3859	0.79616	-6.3859
-2.7789	0	0.88947	9.3087	0.88947	-9.3087
-2.9994	0				
-3	0				
