t	y
0	0
0.17043	0.0080204
0.34087	0.034582
0.5113	0.082242
0.68174	0.15202
0.85217	0.24352
1.0226	0.35507
1.193	0.48393
1.3635	0.62654
1.5339	0.77871
1.7043	0.93595
1.8748	1.0936
2.0452	1.2472
2.2156	1.3925
2.3861	1.5257
2.5565	1.644
2.7269	1.7448
2.8974	1.8266
3.0678	1.8887
3.2382	1.931
3.4087	1.9543
3.5791	1.9601
3.7495	1.9502
3.92	1.9271
4.0904	1.8935
4.2609	1.8523
4.4313	1.8064
4.6017	1.7587
4.7722	1.7118
4.9426	1.6682
5.113	1.6299
5.2835	1.5984
5.4539	1.575
5.6243	1.5604
5.7948	1.5548
5.9652	1.5581
6.1356	1.5696
6.3061	1.5886
6.4765	1.6137
6.6469	1.6438
6.8174	1.6772
6.9878	1.7126
7.1582	1.7483
7.3287	1.7829
7.4991	1.8153
7.6695	1.8442
7.84	1.8688
8.0104	1.8885
8.1808	1.9029
8.3513	1.9119
8.5217	1.9155
8.6921	1.9141
8.8626	1.9081
9.033	1.8982
9.2034	1.8852
9.3739	1.8699
9.5443	1.8531
9.7147	1.8358
9.8852	1.8186
10.056	1.8025
10.226	1.7879
10.396	1.7755
10.567	1.7656
10.737	1.7585
10.908	1.7542
11.078	1.7529
11.249	1.7542
11.419	1.758
11.59	1.764
11.76	1.7716
11.93	1.7806
12.101	1.7904
12.271	1.8005
12.442	1.8106
12.612	1.8201
12.783	1.8288
12.953	1.8363
13.123	1.8424
13.294	1.847
13.464	1.8499
13.635	1.8512
13.805	1.851
13.976	1.8494
14.146	1.8465
14.316	1.8427
14.487	1.838
14.657	1.8328
14.828	1.8274
14.998	1.822
15.169	1.8168
15.339	1.812
15.509	1.8078
15.68	1.8044
15.85	1.8018
16.021	1.8001
16.191	1.7993
16.362	1.7993
16.532	1.8001
16.703	1.8016
16.873	1.8037
17.043	1.8063
17.214	1.8091
17.384	1.8122
17.555	1.8152
17.725	1.8181
17.896	1.8208
18.066	1.8232
18.236	1.8252
18.407	1.8268
18.577	1.8278
18.748	1.8284
18.918	1.8285
19.089	1.8281
19.259	1.8273
19.429	1.8263
19.6	1.8249
19.77	1.8234
19.941	1.8217
20.111	1.82
20.282	1.8184
20.452	1.8169
20.623	1.8156
20.793	1.8144
20.963	1.8135
21.134	1.8129
21.304	1.8125
21.475	1.8125
